round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Servant-4,Servant-3,Servant-1,Minion-2,Servant-2
1,0.5,0.0,0.5,0.5,0.5,0.5
2,0.49658799171447754,0.0,0.5037891864776611,0.5034120082855225,0.3579944968223572,0.39201802015304565
3,0.18718110024929047,0.0,0.07115218043327332,0.07129587978124619,0.8128189444541931,0.8306164145469666
3,0.49997687339782715,0.0,0.24959290027618408,0.5000231266021729,0.3254393935203552,0.8306164145469666
4,0.2548435926437378,0.0,0.7451564073562622,0.0811973437666893,0.8257453441619873,0.12827889621257782
4,0.2548435926437378,0.0,0.6937373280525208,0.20956051349639893,0.7859148979187012,0.3062626123428345
4,0.2548435926437378,0.0,0.5569922924041748,0.4430077373981476,0.6707962155342102,0.3062626123428345
4,0.10233396291732788,0.0,0.5569922924041748,0.4430077373981476,0.3507400155067444,0.6247891187667847
4,0.43652093410491943,0.0,0.430217981338501,0.37521085143089294,0.6123393774032593,0.5634790658950806
