round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Servant-4,Servant-3,Servant-1,Minion-2,Servant-2
1,0.5,0.5,0.5,0.0,0.5,0.5
2,0.504930853843689,0.3656656742095947,0.5087193846702576,0.0,0.36113739013671875,0.49506914615631104
3,0.4085846543312073,0.2487047016620636,0.18686485290527344,0.0,0.5914153456687927,0.8306164145469666
3,0.6745402812957764,0.13772380352020264,0.24961021542549133,0.0,0.32545968890190125,0.7720957398414612
4,0.40912479162216187,0.5908752083778381,0.4029345214366913,0.0,0.6123393177986145,0.22954128682613373
4,0.40912479162216187,0.528043270111084,0.4029345214366913,0.0,0.5502949357032776,0.47195670008659363
4,0.20523251593112946,0.5970654487609863,0.43021801114082336,0.0,0.11969073861837387,0.569782018661499
4,0.20523251593112946,0.5970654487609863,0.43021801114082336,0.0,0.11969073861837387,0.569782018661499
4,0.1742546707391739,0.7704587578773499,0.38158541917800903,0.0,0.5502949357032776,0.4497050344944
