round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Servant-4,Servant-3,Servant-1,Minion-2,Servant-2
1,0.5,0.5,0.5,0.5,1.0,0.5
2,0.49621081352233887,0.459948867559433,0.5003771781921387,0.49962282180786133,1.0,0.49128061532974243
3,0.16938357055187225,0.22668883204460144,0.06352468580007553,0.06365403532981873,1.0,0.773311197757721
3,0.0636485368013382,0.08901549130678177,0.06352468580007553,0.37958788871765137,1.0,0.6204120516777039
4,0.40912479162216187,0.528043270111084,0.4029345214366913,0.05628259852528572,1.0,0.471956729888916
4,0.18752135336399078,0.7704587578773499,0.1836419701576233,0.1517644077539444,1.0,0.22954128682613373
4,0.18752135336399078,0.528043270111084,0.1836419701576233,0.34927743673324585,1.0,0.471956729888916
4,0.40912479162216187,0.528043270111084,0.4029345214366913,0.34927743673324585,1.0,0.47195670008659363
4,0.18752135336399078,0.528043270111084,0.4029345214366913,0.34927743673324585,1.0,0.471956729888916
