round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Servant-4,Servant-3,Servant-1,Minion-2,Servant-2
1,0.5,0.5,0.5,0.5,0.5,0.0
2,0.49658799171447754,0.46032366156578064,0.5037891864776611,0.5034120082855225,0.45546483993530273,0.0
3,0.49997687339782715,0.8117637038230896,0.49945688247680664,0.5000231266021729,0.3254393935203552,0.0
3,0.09999167919158936,0.8120813369750977,0.24959290027618408,0.7504070401191711,0.13853664696216583,0.0
4,0.40912479162216187,0.5908752083778381,0.4029345214366913,0.151764377951622,0.6123393774032593,0.0
4,0.3876606822013855,0.47762203216552734,0.6693750023841858,0.14058968424797058,0.5223779678344727,0.0
4,0.3006972074508667,0.7328323721885681,0.12257585674524307,0.5955178737640381,0.4044821262359619,0.0
4,0.563316285610199,0.6507225036621094,0.2452181875705719,0.43668368458747864,0.3449174761772156,0.0
4,0.1253633350133896,0.8916447758674622,0.12257585674524307,0.815392255783081,0.18460771441459656,0.0
