round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Servant-1,Servant-2,Minion-2,Servant-3,Minion-1
1,0.5,0.5,0.0,0.5,0.5,0.5
2,0.35942643880844116,0.49750959873199463,0.0,0.5024909973144531,0.5024904012680054,0.47580528259277344
3,0.8865029811859131,0.269265353679657,0.0,0.3777674436569214,0.26990604400634766,0.6222324967384338
3,0.8104535341262817,0.2692653238773346,0.0,0.16831068694591522,0.26990604400634766,0.7300939559936523
3,0.8258465528488159,0.16827107965946198,0.0,0.6455596089363098,0.16872693598270416,0.35444045066833496
4,0.4817338287830353,0.38672658801078796,0.0,0.5182662010192871,0.8621984720230103,0.3806092441082001
4,0.4817337691783905,0.3867265582084656,0.0,0.5182662010192871,0.6759143471717834,0.38060927391052246
4,0.13780154287815094,0.49388980865478516,0.0,0.6132734417915344,0.5061101913452148,0.4874246120452881
4,0.5958001613616943,0.49388980865478516,0.0,0.14671853184700012,0.5061101913452148,0.0955621674656868
4,0.5899003744125366,0.40419989824295044,0.0,0.6074607372283936,0.410099595785141,0.397985577583313
