round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Servant-1,Servant-2,Minion-2,Servant-3,Minion-1
1,0.5,0.5,0.5,1.0,0.5,0.5
2,0.35942643880844116,0.49750959873199463,0.3584185242652893,1.0,0.5024904012680054,0.47580528259277344
3,0.7515007853507996,0.07210295647382736,0.24849921464920044,1.0,0.07232095301151276,0.1741533726453781
3,0.8258465528488159,0.07210295647382736,0.09928049892187119,1.0,0.07232095301151276,0.1741533726453781
3,0.5020050406455994,0.18904715776443481,0.49799495935440063,1.0,0.18954649567604065,0.1741533726453781
4,0.32408565282821655,0.24544517695903778,0.12513993680477142,1.0,0.6759143471717834,0.2406856119632721
4,0.13780154287815094,0.49388980865478516,0.12513993680477142,1.0,0.5061101913452148,0.0955621674656868
4,0.5277116894721985,0.4041999280452728,0.4722883701324463,1.0,0.410099595785141,0.06842806935310364
4,0.5277116894721985,0.18443141877651215,0.4722883701324463,1.0,0.1881362795829773,0.397985577583313
4,0.5277116894721985,0.40419989824295044,0.4722883403301239,1.0,0.410099595785141,0.397985577583313
