round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Servant-1,Servant-2,Minion-2,Servant-3,Minion-1
1,0.5,0.5,0.5,0.5,0.0,0.5
2,0.3617231845855713,0.5217095613479614,0.45839446783065796,0.5241953730583191,0.0,0.4782903790473938
3,0.8258465528488159,0.16827107965946198,0.22298599779605865,0.6455596089363098,0.0,0.35444045066833496
3,0.7515007853507996,0.07210295647382736,0.24849921464920044,0.7770140767097473,0.0,0.1741533726453781
3,0.8258465528488159,0.07264139503240585,0.824690043926239,0.11430651694536209,0.0,0.1753099113702774
4,0.32946261763572693,0.5064671635627747,0.30542901158332825,0.8299927115440369,0.0,0.49353286623954773
4,0.33520275354385376,0.25488194823265076,0.3109446167945862,0.7634539008140564,0.0,0.664797306060791
4,0.5958001613616943,0.43118080496788025,0.5688192248344421,0.28606873750686646,0.0,0.1975753903388977
4,0.2713761329650879,0.43118080496788025,0.5688192248344421,0.6132734417915344,0.0,0.1975753903388977
4,0.5958001613616943,0.4041999280452728,0.09044735133647919,0.6132734417915344,0.0,0.397985577583313
