round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Servant-3,Servant-1,Minion-2,Servant-4,Servant-2
1,0.5,0.5,0.5,0.5,0.5,0.0
2,0.46375325322151184,0.46862441301345825,0.5362839698791504,0.5313755869865417,0.40803542733192444,0.0
3,0.16938789188861847,0.4702306389808655,0.7692433595657349,0.5297693610191345,0.16984108090400696,0.0
3,0.1868281364440918,0.726987898349762,0.747406005859375,0.27301204204559326,0.07134910672903061,0.0
3,0.16938789188861847,0.7297157645225525,0.4965532720088959,0.5034466981887817,0.16984108090400696,0.0
3,0.16938789188861847,0.4702306389808655,0.7692433595657349,0.5297693610191345,0.16984108090400696,0.0
3,0.3828255832195282,0.47366657853126526,0.5263334512710571,0.5297693610191345,0.383586049079895,0.0
4,0.3645265996456146,0.7589375972747803,0.5300920009613037,0.4699079692363739,0.404755175113678,0.0
4,0.06411987543106079,0.5777218341827393,0.595244824886322,0.09574040025472641,0.42227813601493835,0.0
4,0.08570009469985962,0.7362077236175537,0.32895350456237793,0.12652409076690674,0.6710464358329773,0.0
