round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Minion-1,Servant-2,Servant-1,Servant-3,Minion-2
1,0.5,0.5,0.5,0.0,0.5,0.5
2,0.4659380316734314,0.5165669322013855,0.5293428897857666,0.0,0.4404253661632538,0.4834330976009369
2,0.5542336106300354,0.5876479744911194,0.4457663893699646,0.0,0.37555891275405884,0.4169521629810333
3,0.5941130518913269,0.4058869481086731,0.11505001038312912,0.0,0.06614535301923752,0.5961462259292603
3,0.8145132660865784,0.18548674881458282,0.11505001038312912,0.0,0.06614535301923752,0.8157848119735718
4,0.13822950422763824,0.7661897540092468,0.15260100364685059,0.0,0.23381024599075317,0.8225573301315308
5,0.020574189722537994,0.7706460356712341,0.22935394942760468,0.0,0.01378199178725481,0.8386877775192261
5,0.006953436881303787,0.9097490906715393,0.09025091677904129,0.0,0.013781990855932236,0.9397498369216919
5,0.006953436881303787,0.7706460356712341,0.22935393452644348,0.0,0.004636597819626331,0.8386877775192261
5,0.020574189722537994,0.9097490906715393,0.09025091677904129,0.0,0.013781990855932236,0.9397498369216919
5,0.006953436881303787,0.9679904580116272,0.03200956806540489,0.0,0.004636597819626331,0.9790762066841125
