round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Servant-3,Minion-2,Servant-1,Servant-4,Minion-1
1,0.5,0.5,1.0,0.5,0.5,0.5
2,0.3467097580432892,0.5004115104675293,1.0,0.3947984576225281,0.49575212597846985,0.4995885193347931
3,0.7154284119606018,0.19846731424331665,1.0,0.2845716178417206,0.19620487093925476,0.19459590315818787
3,0.3128047287464142,0.2526877522468567,1.0,0.351985365152359,0.6480146646499634,0.24808603525161743
3,0.45593568682670593,0.17184363305568695,1.0,0.5440643429756165,0.38029682636260986,0.1683824360370636
3,0.3128047287464142,0.2526877522468567,1.0,0.351985365152359,0.6480146646499634,0.24808603525161743
4,0.5761408805847168,0.4238591194152832,1.0,0.23812638223171234,0.17337414622306824,0.18939632177352905
4,0.5160861611366272,0.4238591194152832,1.0,0.4839138090610504,0.38620609045028687,0.4120917022228241
4,0.5160861611366272,0.1969347596168518,1.0,0.4839138090610504,0.17337414622306824,0.18939632177352905
4,0.5160861611366272,0.4238591194152832,1.0,0.4839138090610504,0.38620609045028687,0.18939632177352905
4,0.5160861611366272,0.4238591492176056,1.0,0.4839138388633728,0.38620615005493164,0.4120916724205017
