round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Servant-3,Minion-2,Servant-1,Servant-4,Minion-1
1,0.5,0.5,0.5,0.0,0.5,0.5
2,0.3467097580432892,0.5004115104675293,0.3678424060344696,0.0,0.5963113903999329,0.4995885193347931
3,0.8037950992584229,0.07624368369579315,0.8158437013626099,0.0,0.19620487093925476,0.19459590315818787
3,0.7350426316261292,0.2526877522468567,0.3298669755458832,0.0,0.6701330542564392,0.24808603525161743
3,0.3150087893009186,0.2546251714229584,0.14219650626182556,0.0,0.6871953010559082,0.684991180896759
3,0.7350426316261292,0.10129290074110031,0.3298669755458832,0.0,0.6701330542564392,0.24808603525161743
4,0.47396978735923767,0.1809716522693634,0.5260301828384399,0.0,0.1589428186416626,0.6777142286300659
4,0.3222857415676117,0.25917935371398926,0.7690273523330688,0.0,0.09069424867630005,0.6777142286300659
4,0.7299556136131287,0.28044095635414124,0.3702582120895386,0.0,0.6297418475151062,0.27078381180763245
4,0.5879083275794983,0.5120911598205566,0.1435566246509552,0.0,0.4609951674938202,0.48790884017944336
4,0.6137939095497131,0.5390048623085022,0.1435566246509552,0.0,0.4609951674938202,0.2410399466753006
