round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Servant-3,Minion-2,Servant-1,Servant-4,Minion-1
1,0.5,0.5,0.5,0.5,0.0,0.5
2,0.34708264470100403,0.6052016019821167,0.3682252764701843,0.39519184827804565,0.0,0.6048082113265991
3,0.5737797021865845,0.42622026801109314,0.26495733857154846,0.8281563520431519,0.0,0.4202354848384857
3,0.3097425699234009,0.6902574300765991,0.1392320841550827,0.7816534638404846,0.0,0.09781495481729507
3,0.48044681549072266,0.18631204962730408,0.5195531845092773,0.5440643429756165,0.0,0.1826237142086029
3,0.3097425699234009,0.5061290860176086,0.32671719789505005,0.6221120953559875,0.0,0.49387088418006897
4,0.3222857415676117,0.10443868488073349,0.7690273523330688,0.12940089404582977,0.0,0.6777142286300659
4,0.1368267983198166,0.25917935371398926,0.7802619934082031,0.30839061737060547,0.0,0.6916093826293945
4,0.3222857415676117,0.10443868488073349,0.3454563021659851,0.7170814275741577,0.0,0.6545436978340149
4,0.5761408805847168,0.4396496117115021,0.2829185128211975,0.5603503584861755,0.0,0.19947630167007446
4,0.5761408805847168,0.4396496117115021,0.2829185128211975,0.5603503584861755,0.0,0.4277692437171936
