round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Servant-3,Servant-2,Servant-1,Minion-1,Minion-2
1,0.0,0.5,0.5,0.5,0.5,0.5
2,0.0,0.4730677902698517,0.6730198264122009,0.5101282000541687,0.4898717701435089,0.47794827818870544
2,0.0,0.5054349303245544,0.49456509947776794,0.42613646388053894,0.5222491025924683,0.40470561385154724
3,0.0,0.09652286767959595,0.3352668881416321,0.6987274289131165,0.6528711318969727,0.34712883830070496
3,0.0,0.20629248023033142,0.1199786365032196,0.5521994829177856,0.44780054688453674,0.6146565079689026
3,0.0,0.388552725315094,0.611447274684906,0.2136262208223343,0.18052928149700165,0.6239093542098999
3,0.0,0.6439241766929626,0.7399747371673584,0.2994738519191742,0.25743064284324646,0.35607579350471497
3,0.0,0.43811696767807007,0.611447274684906,0.5618830323219299,0.08265669643878937,0.30127260088920593
4,0.0,0.668914258480072,0.3310857117176056,0.29577913880348206,0.20914006233215332,0.7193475365638733
4,0.0,0.5576189160346985,0.14162103831768036,0.12280933558940887,0.4423810541629791,0.615254282951355
4,0.0,0.5576189160346985,0.14162103831768036,0.12280933558940887,0.4423810541629791,0.615254282951355
4,0.0,0.44247254729270935,0.5975660681724548,0.557527482509613,0.3863602876663208,0.25128012895584106
4,0.0,0.7027992010116577,0.14162103831768036,0.7487198710441589,0.08100804686546326,0.2972007691860199
