round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Servant-3,Servant-2,Servant-1,Minion-2,Minion-1
1,0.5,0.0,0.5,0.5,0.5,0.5
2,0.43706783652305603,0.0,0.48411044478416443,0.48371613025665283,0.515889585018158,0.51876300573349
3,0.8032939434051514,0.0,0.0709623247385025,0.07049446552991867,0.19670599699020386,0.8361120820045471
3,0.9245350956916809,0.0,0.15499401092529297,0.15406398475170135,0.16388791799545288,0.8361121416091919
4,0.13439539074897766,0.0,0.6286027431488037,0.6196223497390747,0.26577290892601013,0.3803776204586029
4,0.7942536473274231,0.0,0.741629958152771,0.2428911328315735,0.258370041847229,0.16453853249549866
4,0.6947727203369141,0.0,0.6286027431488037,0.2428911328315735,0.258370041847229,0.3713972568511963
4,0.3095313608646393,0.0,0.5095692276954651,0.4904307723045349,0.258370041847229,0.6480928659439087
4,0.5828740000724792,0.0,0.5095692276954651,0.4904307723045349,0.258370041847229,0.3713972568511963
