round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Servant-3,Servant-2,Servant-1,Minion-2,Minion-1
1,0.5,0.5,0.0,0.5,0.5,0.5
2,0.43423858284950256,0.43532297015190125,0.0,0.5842649340629578,0.497123122215271,0.502876877784729
3,0.5764942169189453,0.09975215047597885,0.0,0.07049446552991867,0.4235057532787323,0.6297087669372559
3,0.8032939434051514,0.09975215047597885,0.0,0.07049446552991867,0.19670599699020386,0.8361120820045471
4,0.7322019338607788,0.45430415868759155,0.0,0.3519071340560913,0.3709297180175781,0.5456958413124084
4,0.47681933641433716,0.5231806635856628,0.0,0.17858199775218964,0.19099652767181396,0.5685858726501465
4,0.8722655773162842,0.8822518587112427,0.0,0.07365823537111282,0.07948455214500427,0.12773443758487701
4,0.6947727203369141,0.7140870690345764,0.0,0.19260135293006897,0.07948455214500427,0.30522722005844116
4,0.6947727203369141,0.7140870690345764,0.0,0.19260135293006897,0.2057463377714157,0.30522722005844116
