round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Servant-3,Servant-2,Servant-1,Minion-2,Minion-1
1,0.5,0.5,0.5,0.5,1.0,0.5
2,0.3554985225200653,0.35651013255119324,0.5003947615623474,0.49960529804229736,1.0,0.4181487262248993
3,0.44458624720573425,0.4439055621623993,0.15499401092529297,0.15406398475170135,1.0,0.5554137825965881
3,0.7060015201568604,0.24948343634605408,0.1864282190799713,0.07049446552991867,1.0,0.29399847984313965
4,0.43141403794288635,0.45430412888526917,0.15829125046730042,0.3519071042537689,1.0,0.5456958413124084
4,0.47681933641433716,0.5231806635856628,0.18426679074764252,0.17858199775218964,1.0,0.11774812638759613
4,0.23300835490226746,0.5960636734962463,0.4039362967014313,0.17858199775218964,1.0,0.2859129309654236
4,0.23300835490226746,0.5960636734962463,0.4039362967014313,0.17858199775218964,1.0,0.11774812638759613
4,0.47681933641433716,0.5231806635856628,0.4039362967014313,0.3947540819644928,1.0,0.11774812638759613
