round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Servant-3,Servant-2,Servant-1,Minion-2,Minion-1
1,0.5,0.5,0.5,0.5,0.5,1.0
2,0.3410686254501343,0.34206098318099976,0.48411044478416443,0.48371613025665283,0.515889585018158,1.0
3,0.5764942169189453,0.09975215047597885,0.0709623247385025,0.07049446552991867,0.4235057532787323,1.0
3,0.8032939434051514,0.09975215047597885,0.1864282190799713,0.18535096943378448,0.19670599699020386,1.0
4,0.23300835490226746,0.5960636734962463,0.4039362967014313,0.3947540819644928,0.19099652767181396,1.0
4,0.3095313608646393,0.3297044634819031,0.6702955365180969,0.2428911328315735,0.258370041847229,1.0
4,0.23300835490226746,0.5960636734962463,0.4039362967014313,0.06757211685180664,0.0729549303650856,1.0
4,0.23300835490226746,0.5960636734962463,0.4039362967014313,0.17858199775218964,0.0729549303650856,1.0
4,0.47681933641433716,0.5231806635856628,0.4039362967014313,0.17858199775218964,0.19099652767181396,1.0
