round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Servant-4,Minion-1,Minion-2,Servant-2,Servant-3
1,0.5,0.5,1.0,0.5,0.5,0.5
2,0.3477194011211395,0.34786731004714966,1.0,0.5053936243057251,0.4880896806716919,0.4946063756942749
3,0.09967421740293503,0.8068679571151733,1.0,0.12340255826711655,0.18907301127910614,0.19313204288482666
3,0.09967421740293503,0.8109269738197327,1.0,0.12340255826711655,0.18907301127910614,0.07389118522405624
3,0.2076966017484665,0.4411173164844513,1.0,0.5588827133178711,0.35570359230041504,0.36174410581588745
4,0.41966548562049866,0.07854778319597244,1.0,0.5803345441818237,0.16426187753677368,0.364316463470459
4,0.07437348365783691,0.07854778319597244,1.0,0.6356834769248962,0.06148730590939522,0.364316463470459
4,0.4852224588394165,0.5147776007652283,1.0,0.30288589000701904,0.43457189202308655,0.19936449825763702
4,0.4852224588394165,0.5147776007652283,1.0,0.12650667130947113,0.43457189202308655,0.42759785056114197
4,0.5578722953796387,0.2612494230270386,1.0,0.3155139088630676,0.21370983123779297,0.44212770462036133
