round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Servant-4,Minion-1,Minion-2,Servant-2,Servant-3
1,0.5,0.5,0.5,0.5,0.0,0.5
2,0.4496614336967468,0.4498228132724762,0.4787417948246002,0.5266396403312683,0.0,0.5212582349777222
3,0.24932092428207397,0.7506791353225708,0.0675625279545784,0.7923033833503723,0.0,0.07389118522405624
3,0.5811627507209778,0.5820448994636536,0.17909203469753265,0.29768240451812744,0.0,0.41883721947669983
3,0.24932092428207397,0.7506791353225708,0.17855970561504364,0.7923033833503723,0.0,0.07389118522405624
4,0.296070396900177,0.12947984039783478,0.4908178448677063,0.6441473364830017,0.0,0.5091821551322937
4,0.4852224290370941,0.5147776007652283,0.41863206028938293,0.5803345441818237,0.0,0.4275978207588196
4,0.5578722953796387,0.5724021792411804,0.202963188290596,0.1331859976053238,0.0,0.44212770462036133
4,0.791029691696167,0.20365072786808014,0.3558526635169983,0.6356835961341858,0.0,0.364316463470459
4,0.7387505769729614,0.4341302812099457,0.3558526635169983,0.5658697485923767,0.0,0.364316463470459
