round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Servant-4,Minion-1,Minion-2,Servant-2,Servant-3
1,0.5,0.5,0.5,0.5,0.5,0.0
2,0.4561222493648529,0.4562840163707733,0.4852519929409027,0.5266396403312683,0.5147480368614197,0.0
3,0.1451292335987091,0.7030749320983887,0.6069381237030029,0.39306190609931946,0.1064874678850174,0.0
3,0.2076965868473053,0.8109269738197327,0.339807391166687,0.644296407699585,0.35570353269577026,0.0
3,0.09967421740293503,0.6052823066711426,0.3947177529335022,0.6601925492286682,0.18907301127910614,0.0
4,0.6844860911369324,0.12630820274353027,0.09428570419549942,0.3611511290073395,0.6388488411903381,0.0
4,0.5508472323417664,0.5654281377792358,0.07824110239744186,0.1331859976053238,0.44915279746055603,0.0
4,0.5508472323417664,0.5654281377792358,0.07824110239744186,0.1331859976053238,0.44915279746055603,0.0
4,0.5508472323417664,0.5654281377792358,0.07824110239744186,0.1331859976053238,0.44915279746055603,0.0
4,0.786290168762207,0.7960576415061951,0.07824110239744186,0.1331859976053238,0.21370983123779297,0.0
