round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Servant-4,Minion-2,Servant-3,Servant-2,Minion-1
1,0.5,0.0,0.5,0.5,0.5,0.5
2,0.2781921923160553,0.0,0.6034263968467712,0.30680030584335327,0.5776923298835754,0.42230767011642456
2,0.2781921923160553,0.0,0.5276333093643188,0.49895229935646057,0.501047670841217,0.42230767011642456
3,0.4464814066886902,0.0,0.5206429958343506,0.8865533471107483,0.26296523213386536,0.479356974363327
3,0.2260255068540573,0.0,0.2658086121082306,0.8705004453659058,0.2792883515357971,0.7207115888595581
3,0.4297437369823456,0.0,0.4830068051815033,0.8779746890068054,0.5169932246208191,0.46241649985313416
3,0.4669784605503082,0.0,0.2658086121082306,0.748320460319519,0.11439573019742966,0.5330215096473694
3,0.6933261156082153,0.0,0.29240861535072327,0.8705004453659058,0.30667388439178467,0.27561190724372864
4,0.31259411573410034,0.0,0.5547232627868652,0.516495406627655,0.35950523614883423,0.4835045337677002
4,0.4475667476654053,0.0,0.7194605469703674,0.37259507179260254,0.5524333119392395,0.35729920864105225
4,0.21263425052165985,0.0,0.1875598132610321,0.7621708512306213,0.642700731754303,0.35729920864105225
4,0.4475667476654053,0.0,0.1875598132610321,0.6874058842658997,0.5524333119392395,0.15633979439735413
4,0.4475667476654053,0.0,0.1875598132610321,0.6874058842658997,0.5524333119392395,0.35729920864105225
