round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Servant-3,Servant-2,Servant-1,Minion-1,Minion-2
1,0.5,0.0,0.5,0.5,0.5,0.5
2,0.26196303963661194,0.0,0.24288135766983032,0.3795568645000458,0.6270037293434143,0.6204431056976318
3,0.7294463515281677,0.0,0.7122073769569397,0.18818649649620056,0.07919033616781235,0.2877926528453827
3,0.5214086174964905,0.0,0.4785913825035095,0.3896195888519287,0.41535741090774536,0.5479727983474731
3,0.8899692893028259,0.0,0.8812939524650574,0.07172761112451553,0.07919033616781235,0.11870603263378143
3,0.7294463515281677,0.0,0.3240135908126831,0.6324877142906189,0.11005550622940063,0.3675122559070587
3,0.7657198905944824,0.0,0.3240135908126831,0.6759864687919617,0.27060365676879883,0.1622588336467743
4,0.1929715871810913,0.0,0.3571680188179016,0.6950931549072266,0.6414820551872253,0.3585178852081299
4,0.1929715871810913,0.0,0.3571680188179016,0.6950931549072266,0.6414820551872253,0.3585178852081299
4,0.6281227469444275,0.0,0.5667732954025269,0.43322670459747314,0.06249358132481575,0.10052993148565292
4,0.5635232329368591,0.0,0.49853140115737915,0.43178486824035645,0.062150292098522186,0.5014685392379761
4,0.682743489742279,0.0,0.09947255253791809,0.07785910367965698,0.37359854578971863,0.626401424407959
