round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Servant-1,Minion-2,Servant-3,Servant-4,Servant-2
1,0.5,0.0,0.5,0.5,0.5,0.5
2,0.46604761481285095,0.0,0.6048082113265991,0.4432287812232971,0.5054300427436829,0.4945699870586395
3,0.5987019538879395,0.0,0.40129807591438293,0.09317439794540405,0.07091183215379715,0.6221120953559875
3,0.8173763155937195,0.0,0.1826237142086029,0.09317439794540405,0.07091183215379715,0.8316175937652588
4,0.29993727803230286,0.0,0.20354147255420685,0.7152776122093201,0.2102191150188446,0.7000626921653748
4,0.15171460807323456,0.0,0.24244661629199982,0.3100127577781677,0.689987301826477,0.7359556555747986
4,0.29993727803230286,0.0,0.20354147255420685,0.5740886926651001,0.4439878463745117,0.5560120940208435
4,0.29993727803230286,0.0,0.20354147255420685,0.5740886926651001,0.4439878463745117,0.5560120940208435
4,0.12496734410524368,0.0,0.20354147255420685,0.5740886926651001,0.4439878463745117,0.5560120940208435
