round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Minion-2,Servant-4,Servant-2,Servant-1,Servant-3
1,1.0,0.5,0.5,0.5,0.5,0.5
2,1.0,0.3625057339668274,0.27100205421447754,0.6032710671424866,0.3006293475627899,0.39672890305519104
2,1.0,0.3656657040119171,0.45885181427001953,0.40328001976013184,0.39527571201324463,0.5411481857299805
2,1.0,0.2776152193546295,0.2737068235874176,0.3106072247028351,0.3035067617893219,0.6893928050994873
3,1.0,0.17747144401073456,0.06542663276195526,0.10334483534097672,0.8225285410881042,0.06505640596151352
3,1.0,0.17747144401073456,0.1735679656267166,0.25692975521087646,0.7430701851844788,0.06505640596151352
4,1.0,0.17348843812942505,0.06385349482297897,0.5482799410820007,0.4517200291156769,0.3914436995983124
4,1.0,0.38639509677886963,0.3803751766681671,0.5482800006866455,0.4517199993133545,0.39144366979599
4,1.0,0.17348843812942505,0.16986724734306335,0.5482799410820007,0.4517200291156769,0.3914436995983124
4,1.0,0.17348843812942505,0.3803751766681671,0.60855633020401,0.2154577225446701,0.3914436995983124
4,1.0,0.17348843812942505,0.3803751766681671,0.60855633020401,0.2154577225446701,0.3914436995983124
