round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Minion-2,Servant-4,Servant-2,Servant-1,Servant-3
1,0.5,1.0,0.5,0.5,0.5,0.5
2,0.40036213397979736,1.0,0.27100205421447754,0.5996378660202026,0.3006293475627899,0.39672890305519104
2,0.4439016282558441,1.0,0.5560984015464783,0.4435291886329651,0.4353087842464447,0.4401632845401764
2,0.31093037128448486,1.0,0.36113739013671875,0.40328001976013184,0.39527571201324463,0.5967199802398682
3,0.2585367262363434,1.0,0.168377086520195,0.5091551542282104,0.49084487557411194,0.06286393105983734
3,0.5112541913986206,1.0,0.1621662825345993,0.4887458086013794,0.47959911823272705,0.060263074934482574
4,0.2997347414493561,1.0,0.42696794867515564,0.2880468964576721,0.5615670084953308,0.438432902097702
4,0.26070940494537354,1.0,0.16986724734306335,0.7392905950546265,0.2154577225446701,0.1765556037425995
4,0.10518493503332138,1.0,0.16986724734306335,0.5482799410820007,0.4517200291156769,0.06670306622982025
4,0.26070940494537354,1.0,0.3803751766681671,0.5482799410820007,0.4517200291156769,0.3914436995983124
4,0.5140781998634338,1.0,0.3671916127204895,0.48592182993888855,0.43781089782714844,0.3781105875968933
