round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-2,Servant-4,Servant-3,Servant-1,Servant-2,Minion-1
1,0.5,0.5,0.0,0.5,0.5,0.5
2,0.3657004237174988,0.3702527582645416,0.0,0.404742956161499,0.6032710671424866,0.595257043838501
3,0.4984615445137024,0.5015384554862976,0.0,0.7761750221252441,0.4098118245601654,0.3981039226055145
3,0.4984615445137024,0.5015384554862976,0.0,0.5361620187759399,0.07162658125162125,0.3981039524078369
3,0.09944752603769302,0.8193550109863281,0.0,0.8389898538589478,0.07162658125162125,0.18064498901367188
4,0.2665186822414398,0.6272619366645813,0.0,0.6669677495956421,0.3727380335330963,0.20043249428272247
4,0.5215502977371216,0.4784497320652008,0.0,0.5433940291404724,0.05711015313863754,0.40824243426322937
4,0.5917575359344482,0.0925004854798317,0.0,0.6127758026123047,0.05711015313863754,0.40824243426322937
4,0.7658217549324036,0.23417825996875763,0.0,0.7811919450759888,0.15376712381839752,0.1869656890630722
4,0.9074995517730713,0.0925004854798317,0.0,0.9146076440811157,0.05711015313863754,0.0711960420012474
