round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Minion-2,Servant-2,Servant-3,Minion-1,Servant-4
1,0.5,1.0,0.5,0.5,0.5,0.5
2,0.27488645911216736,1.0,0.39201799035072327,0.5996378660202026,0.40036213397979736,0.39672890305519104
2,0.2776152193546295,1.0,0.49506914615631104,0.3106072247028351,0.4036431610584259,0.504930853843689
3,0.5901881456375122,1.0,0.06845957785844803,0.4098118543624878,0.18905887007713318,0.11319860816001892
3,0.5884411334991455,1.0,0.06845957785844803,0.1879546344280243,0.4115588665008545,0.11319860816001892
3,0.46536868810653687,1.0,0.3653729557991028,0.37672069668769836,0.168697789311409,0.5346313118934631
3,0.6018960475921631,1.0,0.3981039524078369,0.1879546344280243,0.18905887007713318,0.11319860816001892
3,0.46536868810653687,1.0,0.3653729557991028,0.16768790781497955,0.06335818767547607,0.5346313118934631
4,0.6130903959274292,1.0,0.38420408964157104,0.3869095742702484,0.14194341003894806,0.246689572930336
4,0.2533399164676666,1.0,0.17470823228359222,0.17636102437973022,0.14411711692810059,0.7466601133346558
4,0.5044334530830383,1.0,0.1721659153699875,0.17379973828792572,0.14194341003894806,0.49556654691696167
4,0.5044334530830383,1.0,0.38420408964157104,0.17379973828792572,0.05225975438952446,0.49556654691696167
