round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-2,Servant-1,Servant-4,Minion-1,Servant-2,Servant-3
1,0.5,0.5,0.5,0.5,0.0,0.5
2,0.4588518440723419,0.504930853843689,0.4637160301208496,0.49506914615631104,0.0,0.5083423256874084
3,0.33392009139060974,0.3527890145778656,0.7352778315544128,0.24104027450084686,0.0,0.647210955619812
3,0.248753160238266,0.7653643488883972,0.7512468099594116,0.06535319238901138,0.0,0.18043875694274902
3,0.6006332635879517,0.6205328106880188,0.10060107707977295,0.06576123088598251,0.0,0.39936670660972595
4,0.41527724266052246,0.8766252994537354,0.3790755867958069,0.2961018681526184,0.0,0.5847227573394775
4,0.5588191151618958,0.44118091464042664,0.7656126022338867,0.37197843194007874,0.0,0.13528303802013397
4,0.6805761456489563,0.23438744246959686,0.6468310356140137,0.18678022921085358,0.0,0.35316893458366394
4,0.12337468564510345,0.6271594762802124,0.6468310356140137,0.07694539427757263,0.0,0.37284055352211
4,0.3601130247116089,0.3076253831386566,0.7205778956413269,0.6398870348930359,0.0,0.08092040568590164
