round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Minion-2,Servant-3,Servant-4,Servant-2,Servant-1
1,0.5,1.0,0.5,0.5,0.5,0.5
2,0.3702527582645416,1.0,0.3119097352027893,0.2776452600955963,0.629747211933136,0.3148464560508728
3,0.4871754050254822,1.0,0.1026439443230629,0.06083932891488075,0.06221996992826462,0.5128245949745178
3,0.4871754050254822,1.0,0.25548404455184937,0.06083932891488075,0.06221996992826462,0.5128245949745178
4,0.11446268856525421,1.0,0.5416902303695679,0.1668170541524887,0.3953996002674103,0.45830976963043213
4,0.2794214189052582,1.0,0.5416902303695679,0.37525367736816406,0.0677424892783165,0.45830976963043213
4,0.2794214189052582,1.0,0.6046004295349121,0.1668170541524887,0.3953996002674103,0.21998371183872223
4,0.11446268856525421,1.0,0.5416902303695679,0.0625634491443634,0.3953996002674103,0.45830976963043213
4,0.5377477407455444,1.0,0.4622521996498108,0.34050998091697693,0.3598650395870209,0.42105892300605774
5,0.3728134334087372,1.0,0.6271865963935852,0.014660455286502838,0.015930229797959328,0.020332593470811844
5,0.3728134334087372,1.0,0.6271865963935852,0.014660455286502838,0.015930229797959328,0.020332593470811844
5,0.3728134334087372,1.0,0.6271865963935852,0.004935052245855331,0.015930229797959328,0.0068706632591784
5,0.3728134334087372,1.0,0.6271865963935852,0.014660455286502838,0.04631507024168968,0.05861422047019005
