round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Servant-3,Minion-2,Servant-1,Servant-4,Minion-1
1,0.5,0.0,0.5,0.5,0.5,0.5
2,0.24134884774684906,0.0,0.525963306427002,0.262779176235199,0.47744858264923096,0.522551417350769
2,0.25826001167297363,0.0,0.6547055840492249,0.36915549635887146,0.6308444738388062,0.32724693417549133
2,0.32304051518440247,0.0,0.4032875895500183,0.640286386013031,0.3785441815853119,0.5967124104499817
3,0.12039652466773987,0.0,0.7623452544212341,0.09598208218812943,0.3401026427745819,0.6598973870277405
3,0.08132672309875488,0.0,0.62310391664505,0.06425623595714569,0.6072519421577454,0.392748087644577
3,0.12039652466773987,0.0,0.7623452544212341,0.09598208218812943,0.3401026427745819,0.6598973870277405
3,0.44343531131744385,0.0,0.5730239748954773,0.3819597363471985,0.5565646886825562,0.39274805784225464
3,0.5631625652313232,0.0,0.12976649403572083,0.43683746457099915,0.6180402636528015,0.0827338695526123
4,0.034251619130373,0.0,0.9706115126609802,0.036732692271471024,0.03505101799964905,0.9632673263549805
