round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Servant-3,Minion-2,Servant-1,Servant-4,Minion-1
1,0.5,0.5,1.0,0.5,0.5,0.5
2,0.34370824694633484,0.5774816870689392,1.0,0.36979714035987854,0.4006612002849579,0.4225183129310608
2,0.32304057478904724,0.47676143050193787,1.0,0.262779176235199,0.2888045310974121,0.5232385396957397
2,0.24134884774684906,0.47676143050193787,1.0,0.44506189227104187,0.2888045310974121,0.5232385396957397
3,0.20984771847724915,0.1618625819683075,1.0,0.17081663012504578,0.6072519421577454,0.392748087644577
3,0.4434353709220886,0.1618625819683075,1.0,0.17081663012504578,0.5565646290779114,0.06704456359148026
3,0.44343531131744385,0.36683419346809387,1.0,0.3819597363471985,0.5565646886825562,0.39274805784225464
3,0.08132672309875488,0.36683425307273865,1.0,0.06425623595714569,0.6331657767295837,0.177352637052536
3,0.08132672309875488,0.1618625819683075,1.0,0.06425623595714569,0.6072519421577454,0.392748087644577
4,0.01168400514870882,0.009688709862530231,1.0,0.012551598250865936,0.03505101427435875,0.9649490118026733
