round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Minion-2,Servant-4,Minion-1,Servant-3,Servant-1
1,0.5,0.5,0.0,0.5,0.5,0.5
2,0.3621571362018585,0.3576478064060211,0.0,0.49962282180786133,0.591964602470398,0.5003771781921387
3,0.33453530073165894,0.33114898204803467,0.0,0.2471318244934082,0.7637202143669128,0.6654647588729858
3,0.33453530073165894,0.33114898204803467,0.0,0.2471318244934082,0.7637202143669128,0.6654647588729858
3,0.14352011680603027,0.33114898204803467,0.0,0.2471318244934082,0.7664610743522644,0.6688510775566101
3,0.33453530073165894,0.3311489522457123,0.0,0.247131809592247,0.9065142869949341,0.6654646992683411
3,0.5038123726844788,0.49618762731552124,0.0,0.39502808451652527,0.5224405527114868,0.39870378375053406
4,0.5818773508071899,0.5527198910713196,0.0,0.1750865876674652,0.12514589726924896,0.4472801089286804
4,0.8067605495452881,0.08980298787355423,0.0,0.15858209133148193,0.8267728686332703,0.19323943555355072
