round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Minion-2,Servant-4,Minion-1,Servant-3,Servant-1
1,0.5,0.5,0.5,1.0,0.5,0.5
2,0.3621571362018585,0.3576478064060211,0.49621081352233887,1.0,0.3916584849357605,0.5037891864776611
3,0.4813654124736786,0.4775594174861908,0.38037803769111633,1.0,0.518634557723999,0.3809679448604584
3,0.48136547207832336,0.4775594472885132,0.06385421752929688,1.0,0.518634557723999,0.17022208869457245
3,0.48136547207832336,0.23353897035121918,0.38037803769111633,1.0,0.518634557723999,0.17022208869457245
3,0.48136547207832336,0.23353897035121918,0.38037803769111633,1.0,0.518634557723999,0.38096797466278076
3,0.6018959283828735,0.09863585978746414,0.3981040418148041,1.0,0.2642412781715393,0.18101567029953003
4,0.46659255027770996,0.43717193603515625,0.35982975363731384,1.0,0.53340744972229,0.17322714626789093
4,0.4665925204753876,0.079447902739048,0.1577964872121811,1.0,0.53340744972229,0.17322714626789093
