round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-3,Servant-4,Servant-1,Minion-2,Servant-2,Minion-1
1,0.5,0.0,0.5,0.5,0.5,0.5
2,0.4664572477340698,0.0,0.4436350464820862,0.5050185918807983,0.5054300427436829,0.49498140811920166
3,0.5195531845092773,0.0,0.48044684529304504,0.4012981057167053,0.18631203472614288,0.7816534638404846
3,0.5195531845092773,0.0,0.48044681549072266,0.1826237142086029,0.07091183215379715,0.5440643429756165
3,0.8136879801750183,0.0,0.5737797021865845,0.4202354848384857,0.42622026801109314,0.2845716178417206
3,0.5927973985671997,0.0,0.23561637103557587,0.1826237142086029,0.4072026014328003,0.6163312792778015
3,0.5927973985671997,0.0,0.23561637103557587,0.0693134218454361,0.4072026014328003,0.6163312792778015
4,0.40184304118156433,0.0,0.15759757161140442,0.5981569886207581,0.12490183115005493,0.7057077288627625
4,0.18296247720718384,0.0,0.35948485136032104,0.640515148639679,0.12490183115005493,0.741625964641571
4,0.18296247720718384,0.0,0.15759757161140442,0.8170375823974609,0.12490183115005493,0.8779587149620056
4,0.610735297203064,0.0,0.10404665023088455,0.38299956917762756,0.4436357617378235,0.5563642382621765
4,0.14844867587089539,0.0,0.30406445264816284,0.43772098422050476,0.5622790455818176,0.6170004606246948
