round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Minion-1,Servant-3,Servant-4,Minion-2,Servant-1
1,0.5,0.5,0.5,0.5,0.5,0.0
2,0.45546483993530273,0.5034120082855225,0.46032363176345825,0.49658799171447754,0.6880902051925659,0.0
3,0.749869704246521,0.5337736010551453,0.46622633934020996,0.3719498813152313,0.36808356642723083,0.0
3,0.7236453890800476,0.36014115810394287,0.1407996267080307,0.6398588418960571,0.09851708263158798,0.0
3,0.49982625246047974,0.5339465737342834,0.5001737475395203,0.0700589120388031,0.18186555802822113,0.0
3,0.8155489563941956,0.8351359367370605,0.10006256401538849,0.18445102870464325,0.18196900188922882,0.0
3,0.7236453890800476,0.27635458111763,0.7237843871116638,0.0701042041182518,0.18196900188922882,0.0
4,0.11628184467554092,0.8343396186828613,0.8463209271430969,0.07763857394456863,0.16566035151481628,0.0
4,0.6098666191101074,0.233627051115036,0.590728759765625,0.409271240234375,0.15367914736270905,0.0
4,0.2652535140514374,0.4776822328567505,0.5223178267478943,0.18761368095874786,0.641187846660614,0.0
4,0.7646572589874268,0.7328795790672302,0.26712045073509216,0.07763857394456863,0.16566035151481628,0.0
4,0.7803515195846558,0.4776822328567505,0.5223178267478943,0.4092712700366974,0.3526481091976166,0.0
