round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Servant-4,Servant-1,Minion-2,Servant-2,Servant-3
1,0.5,0.5,0.5,1.0,0.5,0.5
2,0.46604761481285095,0.49575212597846985,0.4995885193347931,1.0,0.4432287812232971,0.5004115104675293
3,0.47930189967155457,0.16315940022468567,0.520698070526123,1.0,0.46714287996292114,0.17082595825195312
3,0.2592570185661316,0.18193566799163818,0.2754800319671631,1.0,0.5865094661712646,0.4134904742240906
3,0.2592570185661316,0.40018948912620544,0.2754800319671631,1.0,0.5998104810714722,0.190283864736557
3,0.09278753399848938,0.36905017495155334,0.5328571200370789,1.0,0.46714287996292114,0.3819752633571625
3,0.09278753399848938,0.36905017495155334,0.5328571200370789,1.0,0.46714287996292114,0.3819752633571625
4,0.2238949090242386,0.15949080884456635,0.5274600386619568,1.0,0.4725399315357208,0.06109364330768585
4,0.144511416554451,0.6306958198547363,0.36930418014526367,1.0,0.34408241510391235,0.25534865260124207
4,0.46393799781799316,0.36275896430015564,0.5274600386619568,1.0,0.4725399315357208,0.06109364330768585
4,0.14104467630386353,0.4929189383983612,0.36273127794265747,1.0,0.33771806955337524,0.5070810317993164
