round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Servant-4,Servant-1,Minion-2,Servant-2,Servant-3
1,0.5,0.5,0.5,0.5,0.5,0.0
2,0.3718024790287018,0.5011822581291199,0.6048082113265991,0.4988177418708801,0.35056841373443604,0.0
3,0.3440813720226288,0.6369888782501221,0.36301112174987793,0.25238555669784546,0.7245199680328369,0.0
3,0.6114600896835327,0.3885398805141449,0.2658516764640808,0.17662492394447327,0.818064272403717,0.0
3,0.14883461594581604,0.6369888782501221,0.36301112174987793,0.10114724934101105,0.7245199680328369,0.0
3,0.3440813720226288,0.6369888782501221,0.36301112174987793,0.10114724934101105,0.7245199680328369,0.0
3,0.10447650402784348,0.40018948912620544,0.6309497952461243,0.0698356106877327,0.5998104810714722,0.0
4,0.49136388301849365,0.38853880763053894,0.5360620021820068,0.1616002470254898,0.5086361765861511,0.0
4,0.49136388301849365,0.17478738725185394,0.5360620021820068,0.06037069484591484,0.5086361765861511,0.0
4,0.24357835948467255,0.38853880763053894,0.6372410655021667,0.06037069484591484,0.6114611625671387,0.0
4,0.2238949090242386,0.15949080884456635,0.7761050462722778,0.14725179970264435,0.9030666351318359,0.0
