round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Servant-2,Minion-1,Servant-3,Minion-2,Servant-4
1,0.5,0.0,0.5,0.5,0.5,0.5
2,0.46032366156578064,0.0,0.45546483993530273,0.5037891864776611,0.49658799171447754,0.5034120082855225
3,0.5902451872825623,0.0,0.3254393935203552,0.49945691227912903,0.09999167919158936,0.5005430579185486
3,0.5897197127342224,0.0,0.591392993927002,0.18791863322257996,0.07174929976463318,0.4102802872657776
3,0.8117496371269226,0.0,0.591392993927002,0.40808215737342834,0.4085846543312073,0.40860700607299805
3,0.8993754982948303,0.0,0.1387961208820343,0.8612038493156433,0.10018734633922577,0.10019568353891373
4,0.5871830582618713,0.0,0.32415086030960083,0.07163950055837631,0.4926201403141022,0.5073798894882202
4,0.5871830582618713,0.0,0.5970943570137024,0.05292089283466339,0.4128169119358063,0.07446549832820892
4,0.8101438283920288,0.0,0.5970943570137024,0.32554587721824646,0.4029056131839752,0.18809077143669128
4,0.9255344867706299,0.0,0.9283140897750854,0.05292089283466339,0.0724562555551529,0.07446549832820892
