round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Servant-1,Servant-2,Minion-2,Minion-1,Servant-3
1,0.5,0.5,0.5,1.0,0.5,0.5
2,0.45509061217308044,0.49962282180786133,0.49621081352233887,1.0,0.5003771781921387,0.49128061532974243
3,0.46605339646339417,0.5339465737342834,0.061740558594465256,1.0,0.16593699157238007,0.1625930666923523
3,0.46605339646339417,0.5339465737342834,0.3719499111175537,1.0,0.16593699157238007,0.1625930666923523
3,0.46605339646339417,0.5339465737342834,0.3719499111175537,1.0,0.06219233572483063,0.1625930666923523
4,0.0984564945101738,0.5668952465057373,0.4331047832965851,1.0,0.201633021235466,0.4248155653476715
4,0.49568286538124084,0.5043171048164368,0.4331047832965851,1.0,0.07764870673418045,0.19755473732948303
4,0.746748149394989,0.2532518804073334,0.20578239858150482,1.0,0.20442725718021393,0.20030660927295685
4,0.49568286538124084,0.5043171048164368,0.4331047832965851,1.0,0.07764870673418045,0.4248155653476715
4,0.49568286538124084,0.5043171048164368,0.4331047832965851,1.0,0.07764870673418045,0.19755473732948303
