round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Servant-1,Servant-3,Minion-1,Servant-2,Minion-2
1,0.0,0.5,0.5,0.5,0.5,0.5
2,0.0,0.5428602695465088,0.3997114300727844,0.3997114300727844,0.5428602695465088,0.4571397304534912
3,0.0,0.7446827292442322,0.1595718413591385,0.8320950865745544,0.24796658754348755,0.2553173303604126
3,0.0,0.7446827292442322,0.25107213854789734,0.62291419506073,0.3679615557193756,0.37708577513694763
3,0.0,0.5027185678482056,0.6333653926849365,0.361579567193985,0.49728140234947205,0.10256322473287582
4,0.0,0.0737939104437828,0.3110421597957611,0.7850577235221863,0.6889577507972717,0.24885405600070953
4,0.0,0.1500040739774704,0.5767588019371033,0.28867319226264954,0.7511459589004517,0.42324116826057434
4,0.0,0.12660183012485504,0.4509642720222473,0.5490357279777527,0.6889577507972717,0.3760712742805481
4,0.0,0.6839830875396729,0.1734648197889328,0.20351114869117737,0.7511459589004517,0.31601688265800476
4,0.0,0.566081166267395,0.7113268375396729,0.4339188039302826,0.31734147667884827,0.13345497846603394
