round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-2,Servant-1,Minion-1,Servant-3,Servant-2,Servant-4
1,1.0,0.5,0.5,0.5,0.5,0.5
2,1.0,0.45509061217308044,0.459948867559433,0.49128061532974243,0.5037891864776611,0.49621081352233887
3,1.0,0.22382500767707825,0.08818727731704712,0.3653729557991028,0.06335818767547607,0.634627103805542
4,1.0,0.3324219882488251,0.3568212389945984,0.6431787610054016,0.21144601702690125,0.31041163206100464
4,1.0,0.5990146994590759,0.27080366015434265,0.40098533034324646,0.15218153595924377,0.2315540611743927
4,1.0,0.47301045060157776,0.5269895792007446,0.3753284215927124,0.13875660300254822,0.21288533508777618
4,1.0,0.5990146994590759,0.11015475541353226,0.40098533034324646,0.3500134348869324,0.09127470850944519
4,1.0,0.5252147316932678,0.11015475541353226,0.40098533034324646,0.05645475536584854,0.4747852385044098
5,1.0,0.5804333090782166,0.41956669092178345,0.05363763868808746,0.01721174083650112,0.06993045657873154
5,1.0,0.5804333090782166,0.41956669092178345,0.05363763868808746,0.04991690814495087,0.024450020864605904
5,1.0,0.5804333090782166,0.41956669092178345,0.05363763868808746,0.04991690814495087,0.06993045657873154
5,1.0,0.5804333090782166,0.41956669092178345,0.05363763868808746,0.01721174083650112,0.06993045657873154
5,1.0,0.31560155749320984,0.6843984723091125,0.025470487773418427,0.023654814809560776,0.033510297536849976
