round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-3,Servant-4,Minion-1,Minion-2,Servant-2,Servant-1
1,0.0,0.5,0.5,0.5,0.5,0.5
2,0.0,0.307948499917984,0.4574381709098816,0.5428602695465088,0.5425618886947632,0.3076923191547394
3,0.0,0.25559425354003906,0.14292709529399872,0.10179443657398224,0.8388358354568481,0.7444057464599609
3,0.0,0.25559425354003906,0.33346027135849,0.10179443657398224,0.7812854051589966,0.66653972864151
3,0.0,0.25184887647628784,0.3290782570838928,0.5049450993537903,0.6412047743797302,0.4950549304485321
3,0.0,0.25559425354003906,0.33346027135849,0.2537272274494171,0.7812854051589966,0.66653972864151
3,0.0,0.25559425354003906,0.33346027135849,0.10179443657398224,0.7812854051589966,0.66653972864151
4,0.0,0.4431345462799072,0.556865394115448,0.3497513234615326,0.6284894943237305,0.08070928603410721
4,0.0,0.4431345462799072,0.5568654537200928,0.349751353263855,0.8353948593139648,0.4413895905017853
