round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-3,Servant-4,Minion-1,Minion-2,Servant-2,Servant-1
1,0.5,0.0,0.5,0.5,0.5,0.5
2,0.35954761505126953,0.0,0.4571397304534912,0.5428602695465088,0.640175461769104,0.3997114300727844
3,0.7493409514427185,0.0,0.2506590485572815,0.18522274494171143,0.7812854051589966,0.1822560578584671
3,0.5992940068244934,0.0,0.2506590485572815,0.18522274494171143,0.6412047743797302,0.4007059931755066
3,0.7493409514427185,0.0,0.2506590485572815,0.18522274494171143,0.7812854051589966,0.1822560578584671
3,0.5992940068244934,0.0,0.2506590485572815,0.18522274494171143,0.6412047743797302,0.4007059931755066
3,0.32830333709716797,0.0,0.3290782570838928,0.5049450993537903,0.6412047743797302,0.4950549304485321
4,0.5847287774085999,0.0,0.2305329442024231,0.13878276944160461,0.6301397681236267,0.41527119278907776
4,0.861217200756073,0.0,0.09079910069704056,0.13878276944160461,0.8824706077575684,0.07313905656337738
