round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-3,Servant-4,Minion-1,Minion-2,Servant-2,Servant-1
1,0.5,0.5,1.0,0.5,0.5,0.5
2,0.3598245680332184,0.307948499917984,1.0,0.4002886116504669,0.5997114181518555,0.3076923191547394
3,0.4555991291999817,0.16116413474082947,1.0,0.15983878076076508,0.5444008708000183,0.15720023214817047
3,0.4555991291999817,0.060188163071870804,1.0,0.05963416397571564,0.5444008708000183,0.15720023214817047
3,0.5945345759391785,0.18671180307865143,1.0,0.40546542406082153,0.2848478853702545,0.4007059931755066
3,0.21811507642269135,0.16116413474082947,1.0,0.15983878076076508,0.6412047743797302,0.35879528522491455
3,0.21811507642269135,0.16116413474082947,1.0,0.15983878076076508,0.6412047743797302,0.35879528522491455
4,0.4524937570095062,0.37151047587394714,1.0,0.11752939969301224,0.5475062727928162,0.3698602616786957
4,0.4524937570095062,0.16460520029067993,1.0,0.11752939969301224,0.5475062727928162,0.1636347472667694
