round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-2,Servant-3,Minion-1,Servant-1,Servant-2,Servant-4
1,0.5,0.5,0.5,0.5,0.0,0.5
2,0.36113739013671875,0.395275741815567,0.6079819798469543,0.3656656742095947,0.0,0.6047242879867554
3,0.591392993927002,0.11217310279607773,0.4102802872657776,0.5897197127342224,0.0,0.07174929976463318
3,0.726520836353302,0.274856299161911,0.1882503777742386,0.7251436710357666,0.0,0.188236266374588
4,0.29444146156311035,0.6022661328315735,0.4238901734352112,0.5717958211898804,0.0,0.428204208612442
4,0.3578454554080963,0.730988621711731,0.24670667946338654,0.30801185965538025,0.0,0.6421545147895813
4,0.3578454554080963,0.3354369103908539,0.24670667946338654,0.7055585384368896,0.0,0.6421545147895813
4,0.5247218608856201,0.4752781391143799,0.3701608180999756,0.7256927490234375,0.0,0.3742833435535431
4,0.29444146156311035,0.6022661328315735,0.1969548761844635,0.5717958211898804,0.0,0.428204208612442
