round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-2,Servant-2,Servant-1,Servant-4,Minion-1,Servant-3
1,0.5,0.5,0.5,0.0,0.5,0.5
2,0.3579944968223572,0.5087193846702576,0.3625057339668274,0.0,0.49165770411491394,0.5083423256874084
3,0.8139157295227051,0.18608425557613373,0.8170573711395264,0.0,0.17584054172039032,0.18002381920814514
3,0.14434626698493958,0.2576758861541748,0.8170573711395264,0.0,0.244675874710083,0.7423241138458252
3,0.14434626698493958,0.2576758861541748,0.8170573711395264,0.0,0.244675874710083,0.7423241138458252
3,0.14434626698493958,0.1037071943283081,0.827164888381958,0.0,0.244675874710083,0.755324125289917
3,0.3360295593738556,0.2576758861541748,0.7538945078849792,0.0,0.244675874710083,0.6639704704284668
4,0.46255332231521606,0.18801285326480865,0.5374466776847839,0.0,0.6463161110877991,0.16635823249816895
4,0.7208223938941956,0.30636271834373474,0.38869112730026245,0.0,0.6113089323043823,0.27570536732673645
4,0.621454656124115,0.569897472858429,0.32426270842552185,0.0,0.43010249733924866,0.22316814959049225
4,0.8312256932258606,0.7989982962608337,0.13789761066436768,0.0,0.20100176334381104,0.08739136904478073
4,0.5897616744041443,0.5371032357215881,0.32426270842552185,0.0,0.07736798375844955,0.46289679408073425
