round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-3,Servant-2,Minion-1,Servant-4,Servant-1,Minion-2
1,0.5,0.0,0.5,0.5,0.5,0.5
2,0.36113739013671875,0.0,0.504930853843689,0.5087193846702576,0.3656656742095947,0.49506914615631104
3,0.7488443851470947,0.0,0.7751041054725647,0.07252088934183121,0.2511556148529053,0.18155759572982788
3,0.8861821889877319,0.0,0.366678386926651,0.2606167197227478,0.3350926339626312,0.6333216428756714
3,0.46383795142173767,0.0,0.5346313118934631,0.6772336363792419,0.4653686583042145,0.3653729557991028
3,0.8861821889877319,0.0,0.366678386926651,0.2606167197227478,0.3350926339626312,0.6333216428756714
3,0.5869500041007996,0.0,0.11381782591342926,0.41304999589920044,0.5884411334991455,0.18155759572982788
4,0.1878158301115036,0.0,0.7148391008377075,0.11142686009407043,0.38460227847099304,0.6153977513313293
4,0.1878158301115036,0.0,0.8713793754577637,0.11142686009407043,0.1724058836698532,0.81218421459198
4,0.30691155791282654,0.0,0.6930884718894958,0.07411077618598938,0.7299179434776306,0.06622548401355743
4,0.570530116558075,0.0,0.45521825551986694,0.37576162815093994,0.5447817444801331,0.15095050632953644
4,0.6483930945396423,0.0,0.21785327792167664,0.37576162815093994,0.6242383718490601,0.3478386402130127
