round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Minion-1,Servant-4,Minion-2,Servant-2,Servant-3
1,0.5,1.0,0.5,0.5,0.5,0.5
2,0.3576478064060211,1.0,0.3621571958065033,0.3963678777217865,0.3916584849357605,0.6036321520805359
3,0.09640823304653168,1.0,0.0970534235239029,0.24461901187896729,0.10811705142259598,0.7553809881210327
4,0.049830112606287,1.0,0.139120951294899,0.30208757519721985,0.05632685124874115,0.6979123950004578
4,0.049830112606287,1.0,0.05111437290906906,0.1260891705751419,0.05632685124874115,0.8739108443260193
4,0.10806652158498764,1.0,0.1106768473982811,0.7957349419593811,0.12118759006261826,0.2042650282382965
5,0.4408949315547943,1.0,0.07361584156751633,0.24903756380081177,0.5591050982475281,0.07786429673433304
5,0.4408949315547943,1.0,0.41697490215301514,0.24903756380081177,0.5591050982475281,0.2021174430847168
5,0.4408949315547943,1.0,0.41697490215301514,0.24903756380081177,0.5591050982475281,0.2021174430847168
5,0.4408949315547943,1.0,0.41697490215301514,0.09953837841749191,0.5591050982475281,0.4318026304244995
5,0.4408949017524719,1.0,0.41697487235069275,0.4987151026725769,0.5012848973274231,0.4318026304244995
