round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Minion-1,Servant-4,Minion-2,Servant-2,Servant-3
1,0.5,0.5,0.5,0.5,0.0,0.5
2,0.3579944968223572,0.5034120082855225,0.3625057339668274,0.49658799171447754,0.0,0.6036321520805359
3,0.09775014221668243,0.503399670124054,0.09840333461761475,0.49660030007362366,0.0,0.5072265267372131
4,0.26658231019973755,0.21540950238704681,0.1106768473982811,0.7334176898002625,0.0,0.8640576601028442
4,0.12823718786239624,0.7118946313858032,0.13126303255558014,0.28810539841651917,0.0,0.8739108443260193
4,0.049830112606287,0.1062152087688446,0.139120951294899,0.8893231153488159,0.0,0.8608790636062622
5,0.10337680578231812,0.38219591975212097,0.2387915551662445,0.6790912747383118,0.0,0.6178041100502014
5,0.6264945268630981,0.3966282308101654,0.603371798992157,0.3167933523654938,0.0,0.2615537941455841
5,0.6264945268630981,0.38219591975212097,0.2387915551662445,0.12698721885681152,0.0,0.6178041100502014
5,0.6264945268630981,0.38219591975212097,0.2387915551662445,0.30380332469940186,0.0,0.6178041100502014
5,0.44216224551200867,0.6413905620574951,0.41822487115859985,0.5578377842903137,0.0,0.4330640435218811
