round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Minion-1,Servant-4,Minion-2,Servant-2,Servant-3
1,0.5,0.5,0.5,0.5,0.5,0.0
2,0.45546483993530273,0.5034120082855225,0.46032366156578064,0.49658799171447754,0.595257043838501,0.0
3,0.24529515206813812,0.7303106188774109,0.24666473269462585,0.8890637159347534,0.2696894109249115,0.0
4,0.12823720276355743,0.8565864562988281,0.13126303255558014,0.8788124322891235,0.14341352880001068,0.0
4,0.46769189834594727,0.3989117741584778,0.4743689298629761,0.7281454801559448,0.5256310701370239,0.0
4,0.12823718786239624,0.7118946313858032,0.7706509828567505,0.28810539841651917,0.14341352880001068,0.0
5,0.6264945268630981,0.37350544333457947,0.23213663697242737,0.29604125022888184,0.680210292339325,0.0
5,0.524398922920227,0.37350544333457947,0.47560107707977295,0.29604125022888184,0.5830250978469849,0.0
5,0.524398922920227,0.37350544333457947,0.47560107707977295,0.29604125022888184,0.5830250978469849,0.0
5,0.524398922920227,0.37350544333457947,0.47560107707977295,0.29604125022888184,0.5830250978469849,0.0
5,0.524398922920227,0.37350544333457947,0.47560107707977295,0.29604125022888184,0.5830250978469849,0.0
