round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Minion-2,Servant-3,Servant-4,Servant-2,Minion-1
1,0.0,0.5,0.5,0.5,0.5,0.5
2,0.0,0.5003771781921387,0.49962282180786133,0.45509061217308044,0.49128061532974243,0.5967199802398682
3,0.0,0.1900041401386261,0.07203686237335205,0.6004205942153931,0.3995794355869293,0.634627103805542
3,0.0,0.1900041401386261,0.07203686237335205,0.8099958300590515,0.06885306537151337,0.8313022255897522
3,0.0,0.1900041401386261,0.18889568746089935,0.8099958300590515,0.18155759572982788,0.8313022255897522
4,0.0,0.3941596746444702,0.3421342074871063,0.45641234517097473,0.8698998689651489,0.5435876250267029
4,0.0,0.3941596746444702,0.3421342372894287,0.2186746448278427,0.7420264482498169,0.6058403253555298
4,0.0,0.20526966452598572,0.17113342881202698,0.5737457871437073,0.4262542426586151,0.6158439517021179
4,0.0,0.10385186970233917,0.45466163754463196,0.6175125241279602,0.5453383922576904,0.3482665419578552
4,0.0,0.4365769922733307,0.3824874758720398,0.5634230375289917,0.4262542128562927,0.6058403253555298
