round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Minion-2,Servant-3,Servant-4,Servant-2,Minion-1
1,0.5,1.0,0.5,0.5,0.5,0.5
2,0.27488645911216736,1.0,0.5083423256874084,0.27100205421447754,0.49165767431259155,0.39672890305519104
3,0.08818727731704712,1.0,0.16768790781497955,0.0876936987042427,0.16101014614105225,0.8323121070861816
3,0.46536868810653687,1.0,0.16768790781497955,0.4638379216194153,0.16101014614105225,0.5346313118934631
3,0.46536868810653687,1.0,0.16768790781497955,0.4638379216194153,0.16101014614105225,0.5346313118934631
4,0.3307112157344818,1.0,0.08478210121393204,0.1301000863313675,0.6692887544631958,0.15119235217571259
4,0.4804343581199646,1.0,0.05462849512696266,0.08533143252134323,0.3841560184955597,0.5195656418800354
4,0.5241042375564575,1.0,0.15787732601165771,0.4758957326412201,0.40284085273742676,0.10727126896381378
4,0.26852473616600037,1.0,0.3824874758720398,0.6175125241279602,0.19848935306072235,0.11686793714761734
4,0.5241042375564575,1.0,0.359969824552536,0.4758957326412201,0.40284085273742676,0.10727126896381378
