round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Minion-2,Servant-3,Servant-4,Servant-2,Minion-1
1,0.5,0.5,0.5,0.5,0.0,0.5
2,0.3625057339668274,0.5037891864776611,0.5034120082855225,0.3579944968223572,0.0,0.49658799171447754
3,0.2511556148529053,0.1900041401386261,0.4113011062145233,0.5886989235877991,0.0,0.623279333114624
3,0.10055520385503769,0.1900041401386261,0.07203686237335205,0.8099958300590515,0.0,0.8313022255897522
3,0.10055520385503769,0.07252088934183121,0.07203686237335205,0.8994448184967041,0.0,0.9118127226829529
4,0.5869953036308289,0.41300472617149353,0.15787732601165771,0.23234732449054718,0.0,0.6058403253555298
4,0.5869953036308289,0.4365769624710083,0.3824874758720398,0.5634230375289917,0.0,0.284180611371994
4,0.6400302052497864,0.07927120476961136,0.3824874758720398,0.6175125241279602,0.0,0.284180611371994
4,0.9083552360534668,0.17821724712848663,0.14774346351623535,0.2186746448278427,0.0,0.7813253402709961
4,0.5869953036308289,0.4365769624710083,0.06439074873924255,0.5634230375289917,0.0,0.11686793714761734
