round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-1,Minion-2,Servant-3,Servant-4,Servant-2,Minion-1
1,0.5,0.5,0.5,0.5,0.5,1.0
2,0.46032363176345825,0.30801376700401306,0.5083423256874084,0.27100205421447754,0.49165767431259155,1.0
3,0.2511556148529053,0.1900041401386261,0.07203686237335205,0.7488443851470947,0.18155759572982788,1.0
3,0.5015384554862976,0.18905887007713318,0.07162658125162125,0.4984615445137024,0.06845957785844803,1.0
3,0.5015384554862976,0.18905887007713318,0.1879546344280243,0.4984615445137024,0.3981039524078369,1.0
4,0.5971591472625732,0.18997541069984436,0.15787732601165771,0.23234732449054718,0.40284085273742676,1.0
4,0.5971591472625732,0.18997541069984436,0.15787732601165771,0.09164471179246902,0.40284085273742676,1.0
4,0.26852473616600037,0.20526966452598572,0.17113342881202698,0.731475293636322,0.19848935306072235,1.0
4,0.10902563482522964,0.20526966452598572,0.3824874758720398,0.5737457871437073,0.4262542426586151,1.0
4,0.5241042375564575,0.18997541069984436,0.359969824552536,0.4758957326412201,0.40284085273742676,1.0
