round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Minion-1,Servant-2,Servant-1,Minion-2,Servant-3
1,0.5,1.0,0.5,0.5,0.5,0.5
2,0.3621571362018585,1.0,0.39963796734809875,0.49128061532974243,0.5037891864776611,0.49621081352233887
3,0.09511281549930573,1.0,0.039104804396629333,0.2469443827867508,0.25215795636177063,0.7478420734405518
4,0.09736313670873642,1.0,0.10474914312362671,0.1987946480512619,0.24955810606479645,0.7504419088363647
4,0.24448226392269135,1.0,0.25981637835502625,0.42672330141067505,0.4994104504585266,0.5005895495414734
4,0.09736313670873642,1.0,0.10474914312362671,0.1987946480512619,0.24955810606479645,0.7504419088363647
4,0.2449181079864502,1.0,0.10497048497200012,0.4273003041744232,0.5726996660232544,0.10021243244409561
5,0.5396769642829895,1.0,0.4434715211391449,0.3973734378814697,0.4603229761123657,0.08635085076093674
5,0.5403628349304199,1.0,0.4434715211391449,0.18019402027130127,0.0865689292550087,0.4596371650695801
5,0.28154537081718445,1.0,0.4836854040622711,0.20534276962280273,0.2505180239677429,0.5163145661354065
5,0.5403628349304199,1.0,0.4434715211391449,0.06826534122228622,0.2213778793811798,0.4596371650695801
5,0.5396770238876343,1.0,0.4434715509414673,0.3973734378814697,0.4603230059146881,0.4596371352672577
