round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Minion-2,Servant-4,Servant-3,Minion-1,Servant-1
1,0.5,1.0,0.5,0.5,0.5,0.5
2,0.459948867559433,1.0,0.49128061532974243,0.49621081352233887,0.49962282180786133,0.5003771781921387
3,0.24383100867271423,1.0,0.26668480038642883,0.49277347326278687,0.49617278575897217,0.5038272142410278
3,0.034589141607284546,1.0,0.03883841261267662,0.49277350306510925,0.09863057732582092,0.5072265267372131
3,0.24383102357387543,1.0,0.10811705142259598,0.24461901187896729,0.2471405267715454,0.7528594732284546
4,0.12143920361995697,1.0,0.13564570248126984,0.5091419219970703,0.4908580183982849,0.4625968337059021
4,0.29312410950660706,1.0,0.320097416639328,0.5091419219970703,0.4908580183982849,0.4625968337059021
4,0.12143920361995697,1.0,0.13564570248126984,0.5091419219970703,0.4908580183982849,0.4625968337059021
4,0.29312410950660706,1.0,0.3200974464416504,0.5091419816017151,0.4908579885959625,0.4625967741012573
4,0.12143920361995697,1.0,0.13564570248126984,0.7567943930625916,0.24320560693740845,0.2229590266942978
