round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Minion-2,Servant-4,Servant-3,Minion-1,Servant-1
1,0.5,0.5,0.0,0.5,0.5,0.5
2,0.46032366156578064,0.45546483993530273,0.0,0.49658799171447754,0.5034120082855225,0.5037891864776611
3,0.09840331971645355,0.24529515206813812,0.0,0.24745887517929077,0.7525410652160645,0.7553809285163879
3,0.03556755557656288,0.035315122455358505,0.0,0.7474415302276611,0.2525584399700165,0.7528594732284546
3,0.49893271923065186,0.2478213608264923,0.0,0.5010672807693481,0.2525584399700165,0.7561689615249634
4,0.04561147466301918,0.2930094003677368,0.0,0.7145088911056519,0.7069905996322632,0.09025335311889648
4,0.12539547681808472,0.2930094003677368,0.0,0.7145088911056519,0.7069905996322632,0.22935917973518372
4,0.04561147466301918,0.2930094003677368,0.0,0.7145088911056519,0.7069905996322632,0.09025335311889648
4,0.04561147466301918,0.2930094003677368,0.0,0.7145088911056519,0.7069905996322632,0.09025335311889648
4,0.12539547681808472,0.2930094003677368,0.0,0.7145088911056519,0.7069905996322632,0.09025335311889648
