round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-2,Minion-2,Servant-4,Servant-3,Minion-1,Servant-1
1,0.5,0.5,0.5,0.5,1.0,0.5
2,0.459948867559433,0.45509061217308044,0.49128061532974243,0.49621081352233887,1.0,0.5037891864776611
3,0.0970534235239029,0.09640823304653168,0.10811705142259598,0.24461901187896729,1.0,0.7553809881210327
3,0.0970534235239029,0.09640823304653168,0.10811705142259598,0.49277350306510925,1.0,0.5072265267372131
3,0.24383102357387543,0.09640823304653168,0.10811705142259598,0.24461901187896729,1.0,0.7553809881210327
4,0.05080638453364372,0.13399314880371094,0.1541985422372818,0.27914243936538696,1.0,0.7208576202392578
4,0.12143920361995697,0.28549107909202576,0.13564570248126984,0.5374032258987427,1.0,0.4625968337059021
4,0.29312410950660706,0.04250864312052727,0.320097416639328,0.5374032258987427,1.0,0.4625968337059021
4,0.04404564946889877,0.04250864312052727,0.13564570248126984,0.5374032258987427,1.0,0.4625968337059021
4,0.12143920361995697,0.28549107909202576,0.13564570248126984,0.5374032258987427,1.0,0.4625968337059021
