round,Jane,Kira,Luca,Mia,Paul,Sam
round,Minion-1,Servant-2,Servant-3,Minion-2,Servant-1,Servant-4
1,0.5,0.5,0.5,1.0,0.5,0.5
2,0.45509061217308044,0.49962282180786133,0.49621081352233887,1.0,0.459948867559433,0.5003771781921387
3,0.7302238941192627,0.06819207221269608,0.2697761058807373,1.0,0.2539353668689728,0.07081286609172821
3,0.23121456801891327,0.06193976104259491,0.7650531530380249,1.0,0.2349468618631363,0.0643368512392044
4,0.19571004807949066,0.007366740144789219,0.8042899370193481,1.0,0.01233828254044056,0.008132534101605415
5,0.10073322057723999,0.04264017939567566,0.88015216588974,1.0,0.047242019325494766,0.11984777450561523
5,0.10073322057723999,0.04264017939567566,0.88015216588974,1.0,0.047242019325494766,0.11984777450561523
5,0.10073322057723999,0.04264017939567566,0.6914384365081787,1.0,0.3085615634918213,0.11984777450561523
5,0.10073322057723999,0.11786866188049316,0.6914384365081787,1.0,0.3085615634918213,0.11984777450561523
5,0.5020301342010498,0.28449389338493347,0.4979698657989502,1.0,0.3068317770957947,0.2883562743663788
