round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-3,Minion-2,Servant-2,Servant-4,Servant-1,Minion-1
1,0.5,1.0,0.5,0.5,0.5,0.5
2,0.27949878573417664,1.0,0.5042479038238525,0.4957520663738251,0.3947984576225281,0.3996049761772156
3,0.09770664572715759,1.0,0.5068340301513672,0.4931659400463104,0.10934031754732132,0.03976833075284958
3,0.09770664572715759,1.0,0.5068340301513672,0.4931659400463104,0.10934031754732132,0.11051500588655472
3,0.09770664572715759,1.0,0.7308392524719238,0.24490924179553986,0.2691606879234314,0.03976833075284958
4,0.10388533025979996,1.0,0.4431140720844269,0.5568859577178955,0.03836265206336975,0.284919410943985
4,0.2580423355102539,1.0,0.08122951537370682,0.7419576048851013,0.10688702017068863,0.11724301427602768
5,0.4360783100128174,1.0,0.074915312230587,0.07969534397125244,0.0892937034368515,0.5639216303825378
5,0.4360783100128174,1.0,0.4215771555900574,0.43800345063209534,0.4687744677066803,0.5312255024909973
5,0.2049390971660614,1.0,0.4215771555900574,0.43800345063209534,0.0892937034368515,0.5619965195655823
5,0.08872902393341064,1.0,0.21587824821472168,0.468988835811615,0.531011164188385,0.2741740047931671
5,0.4360783100128174,1.0,0.4215771555900574,0.4380034804344177,0.4687744975090027,0.5312255024909973
