round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-3,Minion-2,Servant-2,Servant-4,Servant-1,Minion-1
1,0.5,0.5,0.5,0.0,0.5,0.5
2,0.3729076683521271,0.44859543442726135,0.4052242040634155,0.0,0.5514045357704163,0.5563649535179138
3,0.22511711716651917,0.42835694551467896,0.7816720604896545,0.0,0.24775564670562744,0.571643054485321
3,0.0892605409026146,0.4312993288040161,0.7816720604896545,0.0,0.5687006711959839,0.10108572989702225
3,0.22721834480762482,0.4312993288040161,0.7816720604896545,0.0,0.5687006711959839,0.2522578537464142
4,0.4660573899745941,0.4298017919063568,0.695854663848877,0.0,0.23098602890968323,0.5339425802230835
4,0.30414533615112305,0.274021178483963,0.695854663848877,0.0,0.7559223771095276,0.14303989708423615
5,0.7279291749000549,0.2720707952976227,0.09479597955942154,0.0,0.11252590268850327,0.7757788896560669
5,0.5147978663444519,0.2720707952976227,0.4852021634578705,0.0,0.11252590268850327,0.5784228444099426
5,0.7279291749000549,0.2720707952976227,0.09479597955942154,0.0,0.11252590268850327,0.7757788896560669
5,0.46704068779945374,0.49561065435409546,0.45233580470085144,0.0,0.5043893456459045,0.5355953574180603
5,0.46704068779945374,0.24672237038612366,0.45233583450317383,0.0,0.5329593420028687,0.5639216303825378
