round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-3,Minion-2,Servant-2,Servant-4,Servant-1,Minion-1
1,0.5,0.5,0.5,0.5,0.5,1.0
2,0.3678424060344696,0.3467097580432892,0.5042479038238525,0.49575212597846985,0.4945699870586395,1.0
3,0.10014341026544571,0.22302940487861633,0.2551608085632324,0.7448391914367676,0.11203119158744812,1.0
3,0.10014341026544571,0.4626977741718292,0.1024874672293663,0.5373022556304932,0.11203119158744812,1.0
3,0.03483816608786583,0.21832795441150665,0.7308392524719238,0.24490924179553986,0.2691606879234314,1.0
4,0.1271665245294571,0.2740211486816406,0.7047621607780457,0.29523786902427673,0.04774221405386925,1.0
4,0.10388533025979996,0.09100203216075897,0.4431140720844269,0.5568859577178955,0.2641851305961609,1.0
5,0.08872902393341064,0.24672237038612366,0.45233583450317383,0.468988835811615,0.531011164188385,1.0
5,0.08872902393341064,0.24672237038612366,0.45233583450317383,0.468988835811615,0.531011164188385,1.0
5,0.46704068779945374,0.24672237038612366,0.45233583450317383,0.468988835811615,0.531011164188385,1.0
5,0.46704068779945374,0.09843084961175919,0.45233583450317383,0.468988835811615,0.531011164188385,1.0
5,0.08872902393341064,0.24672237038612366,0.21587824821472168,0.468988835811615,0.531011164188385,1.0
