round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Minion-1,Servant-3,Minion-2,Servant-2,Servant-1
1,0.0,0.5,0.5,0.5,0.5,0.5
2,0.0,0.6036773324012756,0.3467097580432892,0.4945699870586395,0.49575212597846985,0.5042479038238525
3,0.0,0.6456767916679382,0.8829336762428284,0.354323148727417,0.2519237697124481,0.2546251714229584
3,0.0,0.24808603525161743,0.8054040670394897,0.15330179035663605,0.7519139051437378,0.10129290074110031
3,0.0,0.19459590315818787,0.5772691369056702,0.6197031736373901,0.4227308928966522,0.07624368369579315
3,0.0,0.24543118476867676,0.5772691369056702,0.3487342894077301,0.4964291751384735,0.5035708546638489
3,0.0,0.19459590315818787,0.5737797021865845,0.6163312792778015,0.4227308928966522,0.4262202978134155
4,0.0,0.7893946170806885,0.21060539782047272,0.9755642414093018,0.16991324722766876,0.16292667388916016
4,0.0,0.29401886463165283,0.5658558011054993,0.8525450825691223,0.4341442883014679,0.4218139052391052
5,0.0,0.2773841917514801,0.10270003974437714,0.8850605487823486,0.7226157784461975,0.09527196735143661
5,0.0,0.2803676724433899,0.2584328353404999,0.7196323275566101,0.8865610957145691,0.24278868734836578
5,0.0,0.2803676724433899,0.2584328353404999,0.5097084641456604,0.5134152770042419,0.4902915358543396
