round,Jane,Kira,Luca,Mia,Paul,Sam
round,Servant-4,Minion-1,Servant-3,Minion-2,Servant-2,Servant-1
1,0.5,0.5,0.5,0.5,0.5,0.0
2,0.3729076683521271,0.6955670118331909,0.351645827293396,0.5988645553588867,0.40113547444343567,0.0
3,0.731087863445282,0.19459590315818787,0.7154284119606018,0.2845716178417206,0.0752437487244606,0.0
3,0.731087863445282,0.24808603525161743,0.3128047287464142,0.351985365152359,0.6480146646499634,0.0
3,0.5962406992912292,0.0693134218454361,0.23561637103557587,0.6197031736373901,0.40375930070877075,0.0
3,0.5195531845092773,0.0693134218454361,0.48044681549072266,0.5440643429756165,0.40375930070877075,0.0
3,0.5962406992912292,0.1826237142086029,0.23561637103557587,0.6197031736373901,0.40375930070877075,0.0
4,0.6710568070411682,0.328943133354187,0.1156536266207695,0.9141730070114136,0.09118830412626266,0.0
4,0.8843463659286499,0.08582702279090881,0.18396055698394775,0.8160394430160522,0.14745493233203888,0.0
5,0.18902264535427094,0.5352261066436768,0.09040367603302002,0.7472079992294312,0.46477389335632324,0.0
5,0.44605502486228943,0.2773841917514801,0.25559988617897034,0.7859022617340088,0.5539449453353882,0.0
5,0.710296630859375,0.2773841917514801,0.25559988617897034,0.4962911903858185,0.5037088394165039,0.0
